District|block|cluster|school_code|school_name|moi|student_id|gender|dob|mother_tongue|class_section|assessment_name|programme_name|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56
bangalore|bangalore south(banashankari)|uttrahalli|31401|AGARA|kannada|1500717|female|2007-06-26|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
bangalore|bangalore south(banashankari)|uttrahalli|31486|VAJARAHALLI(UTTRAHALLI)|kannada|1642377|female|2009-11-18|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|1|1|1|1|0|0|0|0|0|1|0|0|0|1|0|1|0|0|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|1|0|0|1|0|0|1|0|0
bangalore|bangalore south(banashankari)|uttrahalli|31486|VAJARAHALLI(UTTRAHALLI)|kannada|1642371|female|2007-09-28|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|1|1|1|1|1|1|1|0|0|1|1|0|1|1|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0
bangalore|bangalore south(banashankari)|uttrahalli|31486|VAJARAHALLI(UTTRAHALLI)|kannada|1642372|male|2007-01-08|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|1|1|1|1|0|0|0|0|1|1|0|0|0|1|0|1|0|0|1|1|1|1|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|1|0
bangalore|sumangali seva ashrama|kodihalli|33458|DOMMALURU|kannada|1621699|male|2008-04-10|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|1|1|1|1|1|1
bangalore|bangalore south(banashankari)|konnana kunte|31062|DODDAKAMMANAHALLI|kannada|1630893|female|2008-10-03|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|0|1|1|1|1|1|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
bangalore|sumangali seva ashrama|kodihalli|33458|DOMMALURU|kannada|1621692|male|2008-02-05|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|1|1|1|0|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|0|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|0|1|1|1|1|0|0|1|1|1|0
bangalore|sumangali seva ashrama|kodihalli|33458|DOMMALURU|kannada|1621693|male|2008-03-04|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|1|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|0|1|1|1|1|1|1|0|1|1|1|0|1|1|1|1|0|1|1|0
bangalore|sumangali seva ashrama|kodihalli|33458|DOMMALURU|kannada|1621695|male|2008-04-10|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|1|1|0|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|0
bangalore|sumangali seva ashrama|kodihalli|33458|DOMMALURU|kannada|1621697|female|2008-04-28|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|0|1|1|1|1|0|1|1|1|1|0|1|1|0|1|1|1|0|1|1|1|1|1|1|0|1|1|1|1|0|1|1|1|0
bangalore|sumangali seva ashrama|kodihalli|30952|JEEVANBHIMANAGAR|kannada|527745|female|2006-06-09|tamil|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|0|0|1|1|1|1|1|0|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|0|0|0|0|0|1|0|0|0|1|1|0
bangalore|sumangali seva ashrama|kodihalli|30963|BABASAHEB COLONY 1|kannada|1454495|male|2007-01-15|tamil|Anganwadi Class|Pretest|Anganwadi Assessment|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
bangalore|sumangali seva ashrama|kodihalli|30963|BABASAHEB COLONY 1|kannada|1454496|male|2007-05-31|tamil|Anganwadi Class|Pretest|Anganwadi Assessment|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
bangalore|bangalore south(banashankari)|uttrahalli|31401|AGARA|kannada|1642777|male|2006-11-28|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|0|0|0|1|1|1|1|1|1|0|1|1|1|1|0|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1
bangalore|bangalore south(banashankari)|uttrahalli|31401|AGARA|kannada|1642779|male|2006-11-28|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|0|0|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
bangalore|bangalore south(banashankari)|konnana kunte|31062|DODDAKAMMANAHALLI|kannada|1630886|female|2009-03-10|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|0|0|0|1|0|1|1|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
bangalore|bangalore south(banashankari)|konnana kunte|33823|KONANKUNTE|kannada|1631937|male|2008-10-04|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
bangalore|bangalore south(banashankari)|konnana kunte|33823|KONANKUNTE|kannada|1631932|male|2008-04-27|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|0|0|1|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0
bangalore|bangalore south(banashankari)|konnana kunte|33823|KONANKUNTE|kannada|1631939|female|2007-11-21|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0
bangalore|bangalore south(banashankari)|konnana kunte|31062|DODDAKAMMANAHALLI|kannada|1362015|male|2006-02-20|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|0|1|1|1|0|0|0|0|1|0|0|0|0|1|1|1|0|1|1|1|1|1|1|1|1|1|0|0|1|0|0|0|1|0|0|0|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0
bangalore|sumangali seva ashrama|kodihalli|30646|SUDHAMANAGAR 1|kannada|1452480|female|2007-09-18|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|0|1|1|1|1|1|0|0|1|1|0|1|1|0|0|1|0|1|0|0|1|1|1|1|1|1|1|0|0|1|1|0|0|1|1|0
bangalore|bangalore south(banashankari)|uttrahalli|31401|AGARA|kannada|1642808|female|2006-06-06|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|0|0|0|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|0|0|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
